uid,org,work_location,certification,issue_date,type
000714781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill IBM Mainframe Application Programmer - Java on z/OS - Experienced,2020-10-17,badge
000714781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - SMP/E - Fundamentals,2020-10-05,badge
000714781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-09-08,badge
000714781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2020-04-16,badge
074627781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-05-18,badge
074627781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Coach,2020-12-04,badge
074627781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-09-11,badge
000855781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Basics for Zowe™,2021-05-27,badge
000855781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2021-04-17,badge
000855781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Co-Creator,2020-12-09,badge
000855781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - REXX Programming - Experienced,2020-09-05,badge
000855781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Aerospace & Defense Industry Jumpstart,2020-07-31,badge
000855781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-06-24,badge
000855781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-06-06,badge
000855781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-04-29,badge
000855781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2020-04-24,badge
077391781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers - Silver,2020-09-10,badge
077391781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Master the Mainframe 2019 - Part 3,2020-01-26,badge
077391781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Master the Mainframe 2019 - Part 2,2019-11-01,badge
077391781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Operator - SDSF Foundations 2.4,2022-07-26,badge
077391781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-07-01,badge
077391781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-12-05,badge
077391781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-07-09,badge
077391781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2018-04-27,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-03-03,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2021-06-25,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Metrics in Practice,2020-09-10,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Explorer,2020-08-14,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Essentials,2020-05-26,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2020-02-26,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-01-07,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",The IBM Way,2019-08-28,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Professional Scrum Product Owner™ I (PSPO I),2019-08-25,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Professional Scrum Master™ I (PSM I),2018-06-17,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Electronics Insights & Solutions (Silver),2018-05-31,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Electronics Industry Jumpstart,2018-05-24,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Education Industry Jumpstart,2018-03-06,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2017-12-22,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2017-12-19,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2017-12-19,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-11-29,badge
057209781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-09-12,badge
079351781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-01-10,badge
079351781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",z/OS Introduction Workshop,2018-07-11,badge
079351781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-24,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Coaching and Mentoring for Technical Specialists,2021-11-11,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - z/OS UNIX System Services,2020-08-08,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - z/OS Batch Utilities - Experienced,2020-11-04,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-08-12,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - IBM Mainframe Environment - Fundamentals 2.4,2022-01-01,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Basics for Zowe™,2021-02-13,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Introduction to System Programming on IBM Z,2021-01-29,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM z/OS Mainframe Practitioner,2021-01-29,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Introduction to IBM z/OS,2020-12-28,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Introduction to z/OS Commands and Panels on IBM Z,2020-12-21,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM DevSecOps Explorer - Security & Automation for DevOps,2020-08-13,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-07-01,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-12-30,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - Mainframe Utilities and VSAM,2019-07-31,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Operator - DB2 Operations,2018-07-24,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",z/OS Introduction Workshop,2018-07-11,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - REXX Programming - Experienced,2018-05-22,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2018-04-04,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2018-04-03,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2018-04-02,badge
000176781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-03-01,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - Job Control Language - Experienced 2.4,2021-11-24,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM z/OS Mainframe Practitioner,2020-08-28,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Practitioner,2019-09-24,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - Mainframe Specialist - SMP/E - Fundamentals,2021-06-23,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Introduction to z/OS Commands and Panels on IBM Z,2020-08-31,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Introduction to System Programming on IBM Z,2020-08-28,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-08-28,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-06-24,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2019-11-08,badge
001215781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-10-14,badge
107089781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2022-04-27,badge
107089781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-02-15,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2019-08-04,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Team Solution Design,2019-05-31,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Master the Mainframe 2018 - Part 3,2019-05-21,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2019-03-15,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2019-02-16,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Master the Mainframe 2018 - Part 2,2019-01-22,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2017-11-15,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",z/OS Introduction Workshop,2017-11-12,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-10-10,badge
068738781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-09-12,badge
106397781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Containers & Kubernetes Essentials,2022-11-30,badge
106397781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-10-14,badge
106397781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-08-20,badge
106397781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2022-06-02,badge
106397781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2022-03-09,badge
080844781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers Engagement Award,2022-08-02,badge
080844781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-01-28,badge
080844781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Oracle Certified Professional: Java SE 11 Developer,2021-04-22,badge
080844781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2021-01-03,badge
080844781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2020-09-14,badge
080844781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2020-03-11,badge
080844781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Carbon Design System Developer Essentials - React,2019-09-17,badge
080844781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","Oracle Certified Professional, Java SE 6 Programmer",2016-02-05,badge
080844781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Oracle Certified Professional (10 Sep 2019),,external certification
109102781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2022-12-20,badge
109102781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2022-09-23,badge
109102781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2022-07-28,badge
109102781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-07-21,badge
109102781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-07-21,badge
002033781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-10-16,badge
002033781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2021-05-28,badge
106836781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Developer Profession - Level 1 Foundation,2023-01-09,badge
106836781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Getting started with Microservices with Istio and IBM Cloud Kubernetes Service,2022-05-13,badge
106836781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Method for Cloud Advocate,2022-01-14,badge
106836781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Containers & Kubernetes Essentials,2021-05-14,badge
106836781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-05-11,badge
106836781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-04-16,badge
106836781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2021-04-15,badge
106836781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Carbon Design System Developer Essentials - React,2021-04-12,badge
056676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-09-21,badge
056676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Management Support - Proven Advisor,2019-08-22,badge
056676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Analytics - Level 1,2018-12-26,badge
056676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Systems Foundations v1,2018-08-12,badge
056676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2018-03-01,badge
056676781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2017-12-01,badge
106125781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2022-09-14,badge
106125781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate for All IBMers,2021-11-03,badge
106125781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-10-11,badge
106125781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2021-06-17,badge
106125781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-03-03,badge
077813781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Achiever,2022-12-20,badge
077813781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate for All IBMers,2021-10-20,badge
077813781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2021-10-11,badge
077813781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-04-29,badge
077813781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Becoming User Centric,2020-03-31,badge
077813781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2020-03-31,badge
077813781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-01-01,badge
077813781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-05-09,badge
077813781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2018-04-30,badge
07216A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers Engagement Award,2021-07-21,badge
07216A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2021-07-16,badge
07216A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",P-TECH Mentor,2021-07-05,badge
07216A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Advocate,2021-04-15,badge
07216A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Mindset, Learning Agility, Time Management",2021-02-20,badge
07216A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2020-10-01,badge
